2015-01-15 07:16:36.162+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 07:18:18.678+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 07:26:06.261+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 07:26:31.051+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 07:26:34.516+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 07:26:38.429+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 07:26:41.392+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 10:27:29.753+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 10:30:19.996+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 10:32:39.294+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 10:35:53.204+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 12:47:21.466+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 12:50:58.175+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:17:44.026+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:26:07.741+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:26:32.198+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:27:55.585+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:30:34.587+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:37:03.825+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:38:02.381+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:46:15.859+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:46:47.279+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:47:08.116+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:51:17.269+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:56:25.059+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-15 19:58:38.216+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-16 20:39:41.928+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
2015-01-16 20:42:16.880+0000 INFO  [org.neo4j]: Successfully shutdown Neo Server on port [7474], database [unknown location]
